Resource,Language,Field,Designation,Size
rgenoud,R,Machine Learning,Tools,3938
rpart,R,Machine Learning,Tools,3938
tree,R,Machine Learning,Tools,3938
Rmalschains,R,Machine Learning,Tools,3938
varSeIRF,R,Machine Learning,Tools,3938
Web Application Development with R Using Shiny,R,Web Apps,Books,3938
Developing Data Products (Coursera),R,Web Apps,Classes,3938
Shiny,R,Web Apps,Tools,3938
Data Science with Java,Java,Other,Books,3938
Intro to Java Programming (Udacity),Java,Other,Classes,3938
Eclipse IDE,Java,Other,Tools,3938
Data Analytics With Hadoop (Jenny Kim),Java,Big Data,Books,3938
Intro to Hadoop & MapReduce for Beginners (Udacity),Java,Big Data,Classes,3938
Apache SAMOA,Java,Big Data,Tools,3938
Java Data Mining,Java,Data Mining,Books,3938
Data Mining with Weka (University of Waikato),Java,Data Mining,Classes,3938
Java Data Mining Package,Java,Data Mining,Tools,3938
Learning Processing (Daniel Shiffman),Java,Data Visualization,Books,3938
Daniel Shiffman's Youtube Channel,Java,Data Visualization,Classes,3938
Processing.js,Java,Data Visualization,Tools,3938
Numeric Computation and Statistical Data Analysis on the Java Platform,Java,Statistics,Books,3938
Statistics In Java (Dr.Dobbs),Java,Statistics,Classes,3938
Statistics,Java,Statistics,Tools,3938
Machine Learning in Java (Boštjan Kaluža),Java,Machine Learning,Books,3938
Scalable Machine Learning (O\'Reilly),Java,Machine Learning,Classes,3938
Stanford Name Entity Recognizer,Java,Machine Learning,Tools,3938
Stanford Topic Modeling Toolbox,Java,Machine Learning,Tools,3938
MALLET,Java,Machine Learning,Tools,3938
aerosolve,Java,Machine Learning,Tools,3938
Deeplearning4j,Java,Machine Learning,Tools,3938
EvA2,Java,Machine Learning,Tools,3938
Encog,Java,Machine Learning,Tools,3938
ELKI,Java,Machine Learning,Tools,3938
OPENNLP,Java,Machine Learning,Tools,3938
CoreNLP,Java,Machine Learning,Tools,3938
Professional Java for Web Applications,Java,Web Apps,Books,3938
Java Webapps Tutorial (LMU Computer Science),Java,Web Apps,Classes,3938
play,Java,Web Apps,Tools,3938
Spring MVC,Java,Web Apps,Tools,3938
Mastering Julia (Malcom Sherrington),Julia,Other,Books,3938
Julia for Data Science (Ivo Balbaert),Julia,Other,Classes,3938
DataFrames,Julia,Other,Tools,3938
RDataSets,Julia,Other,Tools,3938
Graph Layout,Julia,Other,Tools,3938
Data Frames Meta,Julia,Other,Tools,3938
Julia Data,Julia,Other,Tools,3938
Data Read,Julia,Other,Tools,3938
Data Arrays,Julia,Other,Tools,3938
Julia High Performance (Avik Sengupta),Julia,Big Data,Books,3938
Julia for Data Science (Ivo Balbaert),Julia,Big Data,Classes,3938
High Performance Analytics Toolkit,Julia,Big Data,Tools,3938
Mastering Julia (Malcom Sherrington),Julia,Data Mining,Books,3938
Julia for Data Science (Ivo Balbaert),Julia,Data Mining,Classes,3938
JuliaWeb,Julia,Data Mining,Tools,3938
